14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
Szárítógép;2;7;8;8;4;6;1;4;1;5;2;1;0;1;1;1
Televízió, színes;151;174;186;189;225;186;115;157;158;208;143;115;113;117;114;117
Ebbõl:;;;;;;;;;;;;;;;;
LED-,LCD-, plazma-, lézertelevízió;54;88;101;80;97;88;38;72;62;88;56;38;42;36;46;30
Digitális kamera;11;18;22;12;17;17;3;11;7;12;7;3;5;2;4;2
Digitális fényképezõgép;45;54;68;52;50;56;20;44;27;47;30;20;25;17;31;9
DVD-lejátszó és -felvevõ;53;51;66;53;61;57;24;48;32;56;35;24;26;22;31;16
E-könyv olvasó;4;8;6;5;2;5;2;4;1;5;3;2;4;1;4;0
Házimozi-berendezés;8;16;16;14;12;14;5;12;4;13;8;5;10;2;10;1
Asztali számítógép (PC);53;62;73;68;82;68;26;56;33;75;40;26;31;22;36;15
Hordozható számítógép (laptop, notebook);50;78;85;65;89;77;24;61;28;68;39;24;30;20;39;9
Kézi számítógép (tablet, PDA);18;25;37;33;25;28;5;11;4;12;7;5;7;4;8;2
Mobiltelefon;197;243;285;306;358;279;95;202;156;290;153;95;100;91;107;81
Vezetékes telefon;34;38;43;34;48;40;44;45;70;58;51;44;30;54;27;63
Légkondicionáló;6;13;15;7;6;11;5;10;6;6;6;5;6;4;6;4
