22.2.2.6. Természetes szaporodás, fogyás (–) megye és régió szerint, negyedévente kumulált;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2019 I. negyedév;2019 I. félév;2019 I–III. negyedév;2019 I–IV. negyedév;2020 I. negyedév;2020 I. félév;2020 I–III. negyedév;2020 I–IV. negyedév;2021 I. negyedév;2021 I. félév;2021 I–III. negyedév;2021 I–IV. negyedév;2022 I. negyedév;2022 I. félév;2022 I–III. negyedév;2022 I–IV. negyedév
Természetes szaporodás, fogyás (–), fõ;;;;;;;;;;;;;;;;;
Nógrád ;megye;124,5;118,3;113,4;103,2;65,0;59,9;65,3;101,2;205,3;234,7;201,9;146,6;77,2;69,0;66,8;
Észak-Magyarország;régió;113,3;118,9;113,7;103,5;66,0;64,8;70,6;117,2;190,4;213,7;189,5;136,2;80,1;68,4;71,0;
Hajdú-Bihar;megye;109,4;106,7;105,3;97,3;57,6;59,4;45,8;101,3;222,2;254,0;298,2;169,7;92,7;65,1;70,0;
Jász-Nagykun-Szolnok;megye;116,2;114,8;117,2;111,2;79,5;76,6;76,5;112,9;124,8;147,7;144,8;124,3;99,8;78,4;85,7;
Szabolcs-Szatmár-Bereg;megye;102,8;91,2;86,9;62,4;71,4;67,2;49,5;180,1;246,9;323,0;411,0;153,3;67,8;51,3;50,4;
Észak-Alföld;régió;110,2;105,7;105,7;93,5;70,4;68,8;61,3;121,8;183,6;218,1;225,9;144,0;85,8;64,7;69,9;
Bács-Kiskun ;megye;120,5;105,9;108,8;110,8;77,7;81,0;79,6;112,8;170,4;193,8;180,0;145,6;84,0;69,4;80,6;
Békés;megye;116,3;119,1;107,9;106,5;74,3;78,5;85,4;117,1;135,8;140,2;126,3;108,3;104,2;92,5;99,3;
Csongrád-Csanád;megye;94,4;97,6;95,0;91,0;84,5;84,8;84,5;115,7;120,6;138,8;134,8;124,2;94,6;73,8;87,1;
Dél-Alföld;régió;110,3;107,7;104,1;102,9;78,5;81,2;83,2;115,3;143,5;157,5;145,7;124,9;93,0;78,1;88,8;
Alföld és Észak;nagyrégió;111,2;110,5;107,5;100,5;72,1;72,4;73,3;117,6;168,9;190,0;177,2;133,6;86,4;70,8;77,5;
Ország összesen;ország;111,2;108,9;104,0;98,0;73,2;78,3;79,8;120,4;172,0;180,1;167,8;128,6;86,6;74,8;82,6;
