21.2.1.3. A bruttó hazai termék (GDP) termelése folyó áron nemzetgazdasági áganként, negyedévente [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
2010.;I.;120 699;1 269 898;1 035 193;139 744;3 573 185;517 786;435 242;82 544;307 397;277 739;284 845;527 199;479 948;1 023 587;516 572;272 418;234 597;154 684;954 455;6 057 981
;II.;194 412;1 478 072;1 246 388;233 468;3 808 664;672 326;570 128;102 198;348 059;291 658;285 477;540 152;516 448;975 986;489 970;262 080;223 936;178 558;1 050 259;6 764 876
;III.;266 028;1 518 145;1 282 150;279 494;3 891 832;703 866;586 232;117 634;348 672;309 088;279 983;578 602;528 270;974 023;493 687;262 162;218 173;169 328;1 068 255;7 023 754
;IV.;252 806;1 693 709;1 405 172;313 686;4 298 941;831 265;719 361;111 904;394 760;362 523;280 700;608 755;564 336;1 073 240;532 868;289 533;250 839;183 362;1 079 341;7 638 482
2011.;I.;154 521;1 381 265;1 175 942;144 169;3 647 713;554 731;473 813;80 919;330 652;285 518;286 884;550 172;523 458;964 121;483 716;251 595;228 809;152 178;960 944;6 288 612
;II.;299 837;1 492 375;1 299 012;229 615;3 954 131;704 852;602 519;102 333;368 167;302 544;284 549;560 348;552 472;1 004 769;500 177;266 507;238 085;176 431;1 017 133;6 993 091
;III.;367 821;1 517 191;1 293 096;264 161;3 978 965;716 252;604 471;111 780;378 840;318 706;284 611;587 737;530 297;992 037;499 032;262 369;230 636;170 487;1 168 900;7 297 038
;IV.;317 990;1 794 786;1 493 747;340 698;4 399 921;872 034;765 916;106 118;440 402;371 399;289 455;581 848;585 754;1 072 602;525 554;285 104;261 943;186 427;1 106 065;7 959 461
2012.;I.;180 583;1 504 859;1 257 042;132 400;3 645 143;575 715;498 520;77 195;312 585;287 428;276 424;552 756;521 818;967 412;466 024;248 865;252 523;151 004;1 019 473;6 482 457
;II.;254 354;1 575 980;1 355 607;208 700;3 982 300;719 760;624 448;95 312;372 050;302 204;269 384;552 296;551 503;1 038 323;496 993;275 008;266 322;176 780;1 104 068;7 125 402
;III.;361 474;1 588 403;1 358 648;268 164;4 042 715;736 326;626 052;110 274;425 352;326 080;274 221;534 096;544 562;1 031 194;498 784;270 543;261 867;170 885;1 181 190;7 441 947
;IV.;331 874;1 647 279;1 385 107;328 650;4 356 537;851 843;756 217;95 627;417 562;377 222;281 055;583 417;570 438;1 088 680;508 860;288 862;290 958;186 318;1 282 485;7 946 825
2013.;I.;165 214;1 504 961;1 274 420;133 177;3 832 493;614 497;537 686;76 811;353 767;298 576;260 532;578 620;531 146;1 037 958;519 593;241 529;276 836;157 397;1 032 115;6 667 960
;II.;304 329;1 619 501;1 411 733;229 394;4 158 480;762 885;668 364;94 521;395 046;313 192;258 945;562 777;581 019;1 101 495;546 521;269 291;285 683;183 121;1 215 095;7 526 800
;III.;400 691;1 689 974;1 477 166;297 835;4 273 364;803 129;691 653;111 476;459 846;345 063;249 756;558 452;598 143;1 077 600;537 961;258 540;281 099;181 375;1 177 889;7 839 753
;IV.;318 676;1 755 114;1 516 776;372 915;4 576 009;938 639;841 970;96 670;461 105;393 218;252 649;575 245;612 962;1 132 865;546 204;271 381;315 280;209 326;1 294 675;8 317 390
2014.;I.;188 051;1 664 003;1 427 513;165 100;4 070 060;684 162;592 978;91 184;374 754;318 598;266 197;598 563;580 484;1 075 403;520 099;276 496;278 808;171 899;1 132 522;7 219 736
;II.;305 951;1 822 996;1 614 942;281 921;4 443 365;826 656;713 508;113 148;434 217;337 073;270 372;591 131;626 294;1 166 009;559 131;316 041;290 837;191 612;1 251 274;8 105 508
;III.;432 322;1 873 746;1 663 559;325 367;4 569 511;876 256;739 328;136 927;509 102;367 563;265 999;566 775;623 123;1 167 494;565 300;307 377;294 817;193 199;1 301 546;8 502 492
;IV.;364 882;1 910 038;1 670 640;384 534;4 916 864;1 045 945;930 313;115 633;492 811;407 476;262 407;592 694;642 167;1 253 498;587 694;329 434;336 370;219 865;1 400 652;8 976 971
2015.;I.;210 223;1 824 130;1 579 045;187 495;4 247 706;696 615;597 205;99 411;391 021;317 061;261 985;617 797;626 296;1 149 897;553 406;304 869;291 621;187 035;1 187 568;7 657 122
;II.;275 126;2 038 946;1 830 971;310 241;4 639 306;852 197;732 568;119 629;446 243;338 965;263 467;619 490;683 666;1 231 502;592 540;335 951;303 012;203 776;1 290 869;8 554 488
;III.;439 033;1 962 498;1 741 016;338 997;4 817 253;932 966;793 402;139 565;532 283;369 868;258 042;614 761;673 383;1 226 743;586 986;333 603;306 154;209 206;1 408 635;8 966 416
;IV.;400 647;2 162 913;1 917 286;399 733;5 205 518;1 092 894;968 534;124 360;538 682;404 009;256 439;624 732;713 412;1 340 511;627 302;363 440;349 769;234 838;1 618 376;9 787 187
2016.;I.;194 792;1 832 560;1 573 449;146 887;4 532 659;714 778;608 908;105 870;421 756;328 021;265 765;686 359;671 566;1 249 717;597 262;335 587;316 868;194 697;1 216 561;7 923 459
;II.;327 190;2 136 264;1 890 344;255 339;4 932 496;888 844;762 550;126 294;475 281;357 452;263 929;682 136;733 871;1 322 849;632 223;362 307;328 319;208 134;1 386 803;9 038 091
;III.;482 048;2 000 848;1 753 110;319 748;5 093 687;945 789;804 480;141 310;553 677;384 567;262 332;671 420;727 728;1 321 748;639 924;351 869;329 954;226 427;1 396 964;9 293 296
;IV.;404 457;2 167 295;1 881 677;371 041;5 517 050;1 083 864;956 056;127 808;577 056;424 008;259 888;684 325;763 652;1 480 168;691 804;406 483;381 881;244 087;1 491 977;9 951 820
2017.;I.;211 840;1 921 225;1 677 705;171 239;4 921 798;782 179;665 181;116 998;429 923;357 572;299 418;740 730;750 740;1 339 310;646 185;348 916;344 209;221 927;1 306 001;8 532 102
;II.;329 249;2 197 256;1 975 571;318 917;5 362 427;971 534;821 499;150 035;477 696;393 111;301 791;741 678;833 305;1 412 470;674 227;377 705;360 538;230 841;1 489 425;9 697 274
;III.;511 990;2 056 381;1 827 636;413 631;5 595 170;1 061 451;882 842;178 609;549 343;423 874;298 550;750 054;837 255;1 417 951;682 911;371 974;363 065;256 692;1 502 450;10 079 621
;IV.;421 374;2 299 026;2 030 970;507 656;6 069 824;1 212 769;1 058 473;154 296;596 234;460 322;296 856;767 471;887 859;1 578 851;723 176;425 893;429 782;269 461;1 667 880;10 965 760
2018.;I.;221 563;2 009 220;1 775 473;216 652;5 482 275;862 579;724 833;137 746;476 037;414 719;318 402;846 846;822 414;1 497 607;714 256;385 206;398 145;243 671;1 434 562;9 364 272
;II.;338 423;2 333 871;2 113 661;416 966;5 905 761;1 105 784;936 084;169 699;526 939;423 841;326 202;843 548;926 345;1 499 252;702 198;397 264;399 790;253 851;1 680 729;10 675 749
;III.;513 234;2 215 318;1 963 541;554 701;6 167 129;1 213 725;1 005 737;207 988;595 622;446 398;322 556;865 696;934 013;1 514 863;713 532;407 006;394 325;274 258;1 754 849;11 205 231
;IV.;439 401;2 469 236;2 175 314;667 242;6 690 899;1 378 727;1 195 929;182 798;632 281;507 846;319 885;881 148;992 616;1 684 973;764 583;447 516;472 873;293 423;1 874 404;12 141 183
2019.;I.;234 274;2 163 591;1 850 684;319 562;6 042 498;940 695;784 888;155 807;523 613;459 804;364 341;1 000 597;924 591;1 565 763;750 368;405 215;410 180;263 092;1 622 681;10 382 606
;II.;356 307;2 423 093;2 153 927;552 923;6 594 174;1 202 660;1 009 505;193 155;581 550;458 933;382 946;985 354;1 026 829;1 679 615;793 344;443 665;442 606;276 287;1 859 852;11 786 349
;III.;533 810;2 358 070;2 081 243;670 378;6 785 957;1 331 553;1 096 660;234 894;657 305;492 156;382 869;989 155;1 016 595;1 620 651;778 603;423 986;418 061;295 673;1 919 006;12 267 221
;IV.;464 319;2 530 831;2 225 232;762 857;7 465 144;1 485 265;1 276 819;208 446;689 246;574 860;383 048;1 039 240;1 090 439;1 849 459;841 770;500 179;507 510;353 587;2 005 598;13 228 750
2020.;I.;225 194;2 250 006;1 959 487;350 511;6 627 066;1 074 468;902 273;172 196;570 574;518 558;387 208;1 125 340;989 751;1 700 440;789 401;427 004;484 035;260 727;1 672 768;11 125 545
;II.;354 972;1 973 703;1 753 841;542 925;6 374 937;1 072 849;996 100;76 749;526 050;460 076;408 890;1 010 562;928 949;1 747 875;843 262;457 624;446 989;219 685;1 733 803;10 980 339
;III.;570 259;2 396 170;2 143 987;632 492;6 859 172;1 327 412;1 147 884;179 528;582 072;528 840;408 712;1 041 607;988 338;1 717 926;806 446;428 367;483 114;264 265;1 986 713;12 444 806
;IV.;491 444;2 863 085;2 528 215;801 856;7 546 716;1 462 162;1 376 624;85 538;668 432;612 741;410 853;1 032 291;1 094 100;1 956 200;862 819;533 235;560 146;309 938;2 157 755;13 860 856
2021.;I.;231 962;2 217 580;2 029 114;353 140;6 844 399;1 086 759;946 599;140 160;510 194;596 060;423 740;1 125 323;1 015 136;1 829 789;859 781;452 592;517 416;257 398;1 855 834;11 502 916
;II.;430 875;2 772 834;2 542 435;716 570;7 794 575;1 420 481;1 265 758;154 722;592 549;586 626;459 009;1 229 680;1 204 731;2 030 876;917 759;517 162;595 955;270 624;2 033 823;13 748 676
;III.;658 923;2 468 370;2 196 995;796 557;7 926 335;1 553 169;1 286 034;267 135;585 210;651 598;472 866;1 270 152;1 213 147;1 851 607;861 743;451 328;538 536;328 585;2 214 575;14 064 760
;IV.;527 477;3 056 080;2 576 336;987 905;8 862 852;1 720 724;1 535 701;185 024;731 434;729 981;482 774;1 265 568;1 317 986;2 234 808;945 395;595 284;694 129;379 576;2 374 895;15 809 209
2022.;I.;255 178;2 359 794;2 216 540;496 640;8 497 233;1 402 677;1 137 672;265 005;659 190;678 228;458 681;1 392 686;1 208 621;2 376 451;1 186 138;558 627;631 686;320 699;2 214 628;13 823 473
;II.;411 607;3 383 367;2 999 395;882 298;9 184 714;1 724 731;1 483 978;240 753;746 593;684 949;513 549;1 507 718;1 435 404;2 227 460;1 026 626;560 163;640 671;344 310;2 536 629;16 398 615
;III.;589 316;3 819 049;2 872 705;986 713;9 537 595;1 890 977;1 572 446;318 531;834 252;715 967;527 890;1 579 088;1 442 129;2 174 503;1 035 311;523 537;615 655;372 789;2 646 822;17 579 496
;IV.;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;1 256 101;9 562 210;8 088 640;2 365 651;27 219 542;5 018 385;4 194 096;824 289;2 240 035;2 079 144;1 500 120;4 479 492;4 086 154;6 778 414;3 248 075;1 642 327;1 888 012;1 037 798;7 398 079;47 801 584
