4.1.1.34. Vélt egészség nem és korcsoport szerint ;;;;;;;;;;;;;;;;;;;;;;;;;
Év;Vélt egészség: nagyon jó vagy jó, 16–24 éves;Vélt egészség: kielégítõ, 16–24 éves;Vélt egészség: rossz vagy nagyon rossz, 16–24 éves;Vélt egészség: nagyon jó vagy jó, 25–34 éves;Vélt egészség: kielégítõ, 25–34 éves;Vélt egészség: rossz vagy nagyon rossz, 25–34 éves;Vélt egészség: nagyon jó vagy jó, 35–44 éves;Vélt egészség: kielégítõ, 35–44 éves;Vélt egészség: rossz vagy nagyon rossz, 35–44 éves;Vélt egészség: nagyon jó vagy jó, 45–54 éves;Vélt egészség: kielégítõ, 45–54 éves;Vélt egészség: rossz vagy nagyon rossz, 45–54 éves;Vélt egészség: nagyon jó vagy jó, 55–64 éves;Vélt egészség: kielégítõ, 55–64 éves;Vélt egészség: rossz vagy nagyon rossz, 55–64 éves;Vélt egészség: nagyon jó vagy jó, 65–74 éves;Vélt egészség: kielégítõ, 65–74 éves;Vélt egészség: rossz vagy nagyon rossz, 65–74 éves;Vélt egészség: nagyon jó vagy jó, 75– éves;Vélt egészség: kielégítõ, 75– éves;Vélt egészség: rossz vagy nagyon rossz, 75– éves;Vélt egészség: nagyon jó vagy jó, együtt;Vélt egészség: kielégítõ, együtt;Vélt egészség: rossz vagy nagyon rossz, együtt;Összesen
Férfiak becsült száma, ezer fõ;;;;;;;;;;;;;;;;;;;;;;;;;
Férfiak megoszlása, %;;;;;;;;;;;;;;;;;;;;;;;;;
2010;93,4;5,0;1,7;87,8;9,6;2,6;74,2;19,5;6,2;50,4;35,4;14,2;30,8;44,3;24,9;16,1;49,7;34,2;7,9;44,7;47,4;59,1;26,6;14,2;100,0
2011;93,7;4,6;1,7;88,1;10,0;1,8;77,5;17,6;4,9;52,5;32,3;15,2;33,0;44,4;22,6;19,7;51,5;28,8;8,2;44,7;47,1;59,9;26,5;13,5;100,0
2012;93,5;5,0;1,5;91,6;6,5;2,0;79,1;15,0;5,9;57,9;28,1;14,0;35,6;41,2;23,2;18,5;50,3;31,2;10,3;47,6;42,2;61,7;24,5;13,8;100,0
2013;93,3;4,4;2,3;89,8;8,1;2,1;78,2;17,5;4,3;56,7;30,0;13,3;35,3;42,0;22,8;17,9;50,9;31,2;11,7;47,1;41,1;60,3;26,1;13,6;100,0
2014;94,3;3,8;1,9;91,4;6,6;2,0;79,4;16,5;4,1;56,0;31,5;12,5;35,9;42,2;22,0;19,4;52,8;27,8;9,6;50,0;40,4;60,8;26,3;12,9;100,0
2015;93,5;4,6;1,9;88,8;9,5;1,7;79,0;15,9;5,1;54,9;32,8;12,3;32,5;44,5;23,0;21,8;49,0;29,2;12,9;41,7;45,4;59,7;26,7;13,6;100,0
2016;93,2;5,3;1,4;88,7;9,8;1,6;81,0;15,1;3,9;64,0;28,4;7,7;39,7;41,1;19,2;28,3;48,9;22,8;13,5;46,1;40,4;63,3;25,7;11,0;100,0
2017;93,1;5,5;1,4;90,8;7,2;2,1;78,5;16,8;4,8;67,6;24,8;7,6;40,8;42,2;17,0;25,6;52,7;21,6;12,4;48,1;39,5;63,5;25,7;10,8;100,0
2018;96,0;2,9;1,2;91,0;7,2;1,9;79,0;16,7;4,3;67,9;25,0;7,0;44,8;38,9;16,3;29,5;51,5;19,1;14,0;50,1;36,0;64,2;25,6;10,2;100,0
