14.1.1.31. Az egy fõre jutó éves kiadások részletezése COICOP-csoportosítás, a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [forint/fõ/év];;;;;;;;;;;;;;;;;
Megnevezés;Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
;Mindösszesen;1 222 988;983 246;1 143 830;1 382 606;1 377 595;866 407;1 045 879;1 278 588;1 620 618;1 349 702;1 700 321;1 499 089;1 017 272;1 151 168;1 306 539;944 896
2019;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;325 180;257 078;285 970;379 293;415 463;282 875;309 195;335 139;357 504;279 864;423 977;439 192;258 022;312 757;369 917;268 796
02;Szeszes italok, dohányáru;46 639;39 530;45 588;55 687;42 528;42 463;52 367;46 261;43 802;43 526;82 940;48 336;36 629;43 450;57 002;38 462
03;Ruházat és lábbeli (szolgáltatással együtt);55 858;44 547;61 943;56 360;36 694;27 305;39 644;57 074;90 433;63 054;74 810;39 357;60 143;46 899;44 425;54 136
04;Lakásfenntartás, háztartási energia;246 326;221 179;223 317;274 990;299 948;191 127;216 024;275 206;278 351;351 942;366 196;317 819;187 656;192 175;284 075;176 383
05;Lakberendezés, háztartásvitel;57 686;37 476;53 881;67 579;64 104;35 774;50 604;59 095;77 920;49 624;78 568;68 821;48 516;46 031;71 252;44 503
06;Egészségügy;67 548;36 205;46 959;78 649;131 053;51 267;52 704;72 352;87 984;26 183;75 935;132 938;39 745;68 786;83 673;57 715
07;Közlekedés;158 417;106 604;163 172;198 842;111 427;54 981;128 410;177 705;234 240;158 040;232 159;128 873;158 709;132 410;161 652;120 007
08;Hírközlés;93 376;80 620;88 209;105 609;100 922;57 544;82 846;103 599;115 286;102 853;125 508;107 998;79 773;100 284;104 396;73 477
09;Kultúra, szórakozás;97 601;58 996;94 722;113 508;97 996;35 363;59 950;92 950;184 691;123 587;157 428;103 165;83 895;65 539;89 455;83 420
10;Oktatás;12 150;19 158;15 687;8 226;2 940;1 943;6 790;13 135;23 349;6 503;12 606;1 340;17 468;13 814;3 970;16 635
11;Vendéglátás és szálláshely-szolgáltatás ;63 598;46 522;71 297;60 247;43 656;16 131;36 706;62 028;125 570;139 579;110 812;45 440;62 704;67 537;37 943;42 566
12;Egyéb termékek és szolgáltatások;107 479;60 853;100 831;125 036;120 236;54 504;77 970;113 036;166 822;83 281;162 528;129 768;91 261;79 526;109 648;79 282
;Mindösszesen;1 331 858;1 008 767;1 251 577;1 524 027;1 466 967;851 276;1 113 211;1 407 580;1 785 953;1 428 037;1 903 467;1 563 048;1 124 520;1 169 208;1 417 410;1 055 384
2020;;;;;;;;;;;;;;;;;
01;Élelmiszerek és alkoholmentes italok;357 493;258 252;321 989;410 364;449 709;298 746;342 734;366 784;396 048;357 747;478 610;478 585;282 387;304 909;420 047;263 704
02;Szeszes italok, dohányáru;51 439;36 281;48 410;66 220;51 012;49 833;54 726;54 638;45 267;48 983;95 478;54 678;37 685;41 016;75 226;34 271
03;Ruházat és lábbeli (szolgáltatással együtt);51 834;34 870;59 334;46 917;33 060;23 255;40 286;50 697;81 639;73 664;72 939;34 697;55 113;42 870;42 104;43 598
04;Lakásfenntartás, háztartási energia;254 209;176 927;230 823;291 020;315 154;185 677;232 844;268 593;299 429;280 478;385 786;334 286;198 149;200 660;269 086;171 880
05;Lakberendezés, háztartásvitel;63 662;25 064;62 038;64 908;74 743;33 232;50 750;64 563;93 611;60 894;93 258;80 776;54 460;43 556;64 175;35 556
06;Egészségügy;74 213;23 435;52 510;85 548;148 169;51 312;65 335;74 110;96 776;21 973;84 723;153 686;41 969;57 376;103 289;52 725
07;Közlekedés;147 454;90 702;155 986;170 386;106 273;45 010;128 852;155 734;216 365;165 112;254 810;119 223;136 865;85 838;148 733;116 702
08;Hírközlés;101 224;76 646;95 720;114 709;112 227;61 467;94 447;106 610;125 011;115 052;151 676;120 823;83 104;82 996;107 919;73 216
09;Kultúra, szórakozás;88 873;26 915;93 089;94 571;79 460;34 655;60 664;87 352;151 243;100 769;143 483;85 588;80 570;38 180;89 938;65 735
10;Oktatás;11 762;12 241;15 994;5 793;2 395;917;4 597;11 280;26 027;8 078;9 985;223;18 219;25 154;1 524;14 383
11;Vendéglátás és szálláshely-szolgáltatás ;52 405;33 733;62 781;42 790;28 199;13 843;31 041;46 696;103 438;69 635;95 719;32 160;52 883;46 667;39 200;39 584
12;Egyéb termékek és szolgáltatások;113 835;49 238;108 158;124 889;134 472;51 883;91 871;121 411;163 709;87 484;158 315;145 647;96 893;64 959;123 142;80 733
;Mindösszesen;1 368 405;844 304;1 306 831;1 518 115;1 534 873;849 831;1 198 146;1 408 468;1 798 564;1 389 868;2 024 781;1 640 372;1 138 297;1 034 182;1 484 383;992 087
